ID,Price,Province,HouseType,ConstructionYear,LivingArea_m2,Garden,Balcony,Attic,StatusRank,StatusScore,Avg_property_value_m2,Avg_property_value_per_House
2681196,201324,Drenthe,Semidetached,1949,95,1,0,0,2254,-0.18,1300,123500
2685290,273361,Noord Holland,TownHouse,1900,76,1,0,0,2619,-0.49,1900,144400
2675885,137226,Zeeland,Semidetached,1902,87,1,0,0,2979,-0.97,1502.700491,130734.9427
2678900,210552,Zeeland,Semidetached,1958,106,1,0,0,1806,0.15,1050,111300
2682311,258332,Frysl̢n,Detached,1816,86,1,0,0,2682,-0.57,1050,90300
2682238,149444,Zeeland,Semidetached,1936,90,1,0,0,2837,-0.75,1100,99000
2683419,170086,Overijssel,TownHouse,1980,80,1,0,0,1187,0.53,1650,132000
2683693,175656,Zeeland,Semidetached,1928,112,1,0,0,1735,0.2,2750,308000
2688981,128538,Drenthe,Semidetached,1965,104,1,0,0,3171,-1.38,1150,119600
2678207,193071,Zeeland,Apartment,1971,67,0,0,0,931,0.71,3400,227800
2683696,157188,Zeeland,TownHouse,1875,135,1,0,0,1688,0.23,1150,155250
2683821,210384,Gelderland,CornerHouse,1965,107,1,0,0,1935,0.07,1300,139100
2683443,93305,Overijssel,Semidetached,1883,107,1,0,0,2825,-0.74,1500,160500
2683489,214611,Drenthe,Detached,1915,120,1,0,0,3308,-1.77,1271.932299,152631.8759
2683703,162906,Zeeland,Semidetached,1952,102,1,0,0,2558,-0.41,1300,132600
2682217,177266,Noord Brabant,Semidetached,1995,88,1,0,0,1035,0.64,1587.795858,139726.0355
2684418,158254,Zeeland,TownHouse,1979,85,1,0,0,2558,-0.41,1300,110500
2679782,83439,Drenthe,Apartment,2007,110,0,0,0,3323,-1.84,1271.932299,139912.5529
2688963,130789,Groningen,Semidetached,1930,82,0,0,0,3493,-2.97,1290.106952,105788.7701
2675771,178930,Zeeland,Semidetached,1919,119,0,0,0,2979,-0.97,1502.700491,178821.3584
2678231,176414,Zeeland,Apartment,1970,44,0,1,0,935,0.7,2046.153846,90030.76923
2688338,151120,Limburg,Semidetached,1975,80,0,0,0,2840,-0.76,1200,96000
2683504,119774,Drenthe,Semidetached,1960,140,1,0,0,3308,-1.77,1271.932299,178070.5219
2692148,184356,Zeeland,CornerHouse,1973,99,0,0,0,2164,-0.09,1987.019187,196714.8996
2684863,185913,Zeeland,Semidetached,1948,125,1,0,0,1806,0.15,1050,131250
2684871,301667,Zeeland,Detached,1900,128,1,0,0,2550,-0.4,1250,160000
2692430,230499,Zeeland,CornerHouse,1968,90,1,0,0,1228,0.5,1700,153000
2687639,212771,Noord Brabant,Apartment,2001,75,0,0,0,1978,0.05,1750,131250
2684854,316654,Zeeland,Detached,1920,104,1,0,0,2629,-0.5,2750,286000
2686684,140190,Groningen,CornerHouse,1979,92.5,1,0,0,3054,-1.11,1300,120250
2683182,163078,Gelderland,Semidetached,1950,100,1,0,0,3219,-1.47,1533.773585,153377.3585
2683699,185225,Zeeland,Semidetached,1950,108,1,0,0,1688,0.23,1150,124200
2678988,187001,Zeeland,TownHouse,1974,103,0,0,0,1937,0.07,1529.326187,157520.5972
2683574,224214,Drenthe,Semidetached,1992,125,1,0,0,2502,-0.36,1200,150000
2693613,264005,Zeeland,Semidetached,1901,86,1,0,0,935,0.7,1750,150500
2690333,167609,Noord Brabant,TownHouse,1955,79,1,0,0,2480,-0.35,1350,106650
2684419,170639,Zeeland,NotSpecified,1938,155,0,0,0,2550,-0.4,1250,193750
2678989,245467,Zeeland,Semidetached,1964,86,0,0,0,626,0.97,1500,129000
2683353,171142,Gelderland,Semidetached,2009,80,0,0,0,1252,0.49,1550,124000
2684757,327121,Overijssel,Detached,1900,107,0,0,0,2825,-0.74,1500,160500
2684810,185666,Overijssel,Semidetached,1900,90,1,0,0,2825,-0.74,1500,135000
2684813,158880,Overijssel,TownHouse,1978,108,1,0,0,2825,-0.74,1500,162000
2689158,337382,Drenthe,Detached,1975,65,1,0,0,2963,-0.95,1500,97500
2683564,342875,Frysl̢n,Detached,1965,100,1,0,0,2989,-0.99,1695.027593,169502.7593
2681695,135003,Drenthe,Semidetached,1960,130,0,0,0,3171,-1.38,1150,149500
2683577,163479,Drenthe,Apartment,1994,84,1,1,0,2502,-0.36,1200,100800
2689822,215117,Zeeland,Semidetached,1962,86,0,0,0,1937,0.07,1529.326187,131522.0521
2683422,267275,Overijssel,Detached,1836,110,1,0,0,2825,-0.74,1500,165000
2683463,278512,Groningen,Detached,1938,110,1,0,0,3063,-1.14,1250,137500
2682592,310745,Groningen,Detached,1956,120,1,0,0,2303,-0.21,1250,150000
2681910,186836,Overijssel,Semidetached,1937,100,0,0,0,2944,-0.92,1668.157895,166815.7895
2683491,144044,Drenthe,Semidetached,1991,105,1,0,0,3308,-1.77,1271.932299,133552.8914
2683500,109570,Drenthe,Semidetached,1992,80,1,0,0,3323,-1.84,1271.932299,101754.5839
2682342,139874,Flevoland,CornerHouse,1975,120,1,0,0,3342,-1.96,1350,162000
2684870,152119,Zeeland,Semidetached,1968,97,1,0,0,2927,-0.88,1200,116400
2686423,249757,Limburg,TownHouse,1910,156,1,0,0,830,0.8,1400,218400
2681531,191788,Zeeland,Semidetached,1938,145,1,0,0,2758,-0.66,1550,224750
2682949,216343,Limburg,CornerHouse,1930,130,0,0,0,2840,-0.76,1250,162500
2684819,173381,Overijssel,Semidetached,1900,125,0,0,0,2374,-0.27,1350,168750
2683575,225718,Drenthe,Semidetached,1990,115,1,0,0,2502,-0.36,1200,138000
2684806,190969,Overijssel,TownHouse,1978,117,0,0,0,2825,-0.74,1500,175500
2688365,402179,Limburg,Detached,1965,133,0,0,0,1442,0.37,1371.633186,182427.2138
2688361,194893,Gelderland,CornerHouse,1950,82,0,0,0,1502,0.34,1550,127100
2681981,224485,Frysl̢n,Detached,1990,150,0,0,0,3061,-1.13,1695.027593,254254.139
2683497,249125,Drenthe,Detached,1910,110,1,0,0,3308,-1.77,1271.932299,139912.5529
2675497,408269,Zeeland,Detached,1925,86,1,0,0,1698,0.22,1450,124700
2677008,311072,Frysl̢n,Detached,1900,90,1,0,0,2077,-0.02,1400,126000
2677753,169877,Gelderland,CornerHouse,1982,97,1,0,0,2538,-0.39,1450,140650
2688973,292337,Groningen,Detached,1902,306,0,0,0,1783,0.17,1223.351159,374345.4545
2683724,394232,Zeeland,Detached,1920,132,1,0,0,778,0.84,1700,224400
2682849,264756,Flevoland,CornerHouse,2008,135,1,0,0,1595,0.29,1700,229500
2683682,232315,Zeeland,Semidetached,1911,184,1,0,0,2550,-0.4,1250,230000
2679593,249053,Groningen,Detached,1935,106,0,0,0,3493,-2.97,1290.106952,136751.3369
2687612,358770,Zeeland,Detached,1961,92,1,0,0,1882,0.11,1450,133400
2684794,189530,Overijssel,Semidetached,1958,95,1,0,0,2825,-0.74,1500,142500
2684818,192492,Overijssel,CornerHouse,1930,125,0,0,0,2825,-0.74,1500,187500
2684814,162248,Overijssel,CornerHouse,1978,106,1,0,0,2825,-0.74,1500,159000
2682997,341163,Limburg,Detached,1994,89,1,0,0,1040,0.64,1400,124600
2686941,240838,Noord Brabant,CornerHouse,1974,94,1,0,0,2193,-0.12,1750,164500
2674806,177718,Zeeland,TownHouse,1925,106,1,0,0,2361,-0.25,1450,153700
2683694,135197,Zeeland,TownHouse,1999,165,0,0,0,2758,-0.66,1100,181500
2683440,129770,Overijssel,TownHouse,2005,105.5,1,0,0,3237,-1.53,1350,142425
2678284,219078,Zeeland,Semidetached,1920,90,0,0,0,1937,0.07,1529.326187,137639.3568
2684231,129438,Zeeland,Apartment,2019,47.5,0,0,0,1933,0.07,2000,95000
2676369,227926,Frysl̢n,NotSpecified,1982,101,0,0,0,2496,-0.36,1400,141400
2685969,209184,Noord Brabant,Semidetached,1963,110,1,0,0,1224,0.51,1800,198000
2684862,477550,Zeeland,Detached,1912,234,1,0,0,1435,0.38,1100,257400
2685012,350040,Groningen,Detached,1934,150,1,0,0,2204,-0.12,1223.351159,183502.6738
2681941,353933,Frysl̢n,Detached,1957,130,0,0,0,3061,-1.13,1695.027593,220353.5871
2680519,184825,Overijssel,Semidetached,1965,133,1,0,0,3260,-1.59,1200,159600
2686089,317277,Zuid Holland,TownHouse,1962,90,1,0,0,432,1.17,2100,189000
2685777,287556,Zuid Holland,TownHouse,1958,67,1,0,0,877,0.76,1750,117250
2677802,243657,Flevoland,Semidetached,1949,93,1,0,0,1029,0.64,1550.10661,144159.9147
2681511,239841,Frysl̢n,TownHouse,1972,127,1,0,0,1202,0.52,1450,184150
2674988,219526,Noord Brabant,Semidetached,1950,74,1,0,0,1916,0.09,1900,140600
2684925,231094,Zuid Holland,Apartment,2002,77,1,1,0,2094,-0.03,2000,154000
2684486,205708,Noord Brabant,Semidetached,1968,130,0,1,0,2528,-0.38,1550,201500
2681518,285648,Frysl̢n,Detached,1935,110,1,0,0,3026,-1.07,1550,170500
2686677,264050,Groningen,Detached,1920,113,1,0,0,3254,-1.58,1400,158200
2683503,287745,Drenthe,Detached,1915,120,1,0,0,3308,-1.77,1271.932299,152631.8759
2688360,102298,Gelderland,CornerHouse,1955,84,0,0,0,3435,-2.44,1900,159600
2692006,243526,Flevoland,TownHouse,1997,103,0,0,0,1055,0.62,1650,169950
2684767,292042,Overijssel,Detached,2001,136,1,0,0,2250,-0.17,1600,217600
2681699,258687,Drenthe,Detached,1997,147,1,0,0,3336,-1.92,1200,176400
2688967,356927,Noord Brabant,Detached,1955,88,1,0,0,1978,0.05,1750,154000
2682788,234611,Noord Brabant,TownHouse,1955,126,1,0,0,2534,-0.39,1670.157068,210439.7906
2683074,283972,Frysl̢n,Detached,1988,119,1,0,0,3080,-1.17,1300,154700
2676375,272271,Gelderland,NotSpecified,2012,94,0,0,0,2018,0.03,1500,141000
2689183,240902,Noord Brabant,CornerHouse,2008,100,1,0,0,1048,0.63,1750,175000
2677608,225435,Overijssel,NotSpecified,1982,150,1,0,0,2123,-0.05,1450,217500
2690393,150120,Noord Brabant,TownHouse,1920,82,1,0,0,2403,-0.29,1750,143500
2690942,203806,Zeeland,Semidetached,1987,125,1,0,0,2919,-0.88,2750,343750
2683482,315029,Drenthe,Detached,1926,126,1,0,0,3308,-1.77,1271.932299,160263.4697
2684890,140985,Drenthe,Semidetached,1995,147,1,0,0,2754,-0.66,1450,213150
2683040,226135,Frysl̢n,TownHouse,1910,200,1,0,0,2820,-0.73,1233.8,246760
2684857,354951,Zeeland,Detached,1934,145,1,0,0,1288,0.47,1500,217500
2692621,199610,Zeeland,Semidetached,1971,128,1,0,0,2769,-0.68,1698.226212,217372.9551
2678236,287415,Drenthe,CornerHouse,2012,124,0,0,0,888,0.74,1450,179800
2675499,205143,Zeeland,TownHouse,1969,120,1,0,0,1579,0.3,1650,198000
2675495,350158,Zeeland,CornerHouse,1816,159,1,0,0,1698,0.22,1450,230550
2683506,331622,Drenthe,Detached,1925,226.3,1,1,0,3308,-1.77,1271.932299,287838.2793
2685129,212372,Gelderland,Semidetached,1948,80,1,0,0,1197,0.52,1850,148000
2685336,214798,Gelderland,Semidetached,1960,106,1,1,0,1267,0.48,2050,217300
2684602,240319,Flevoland,CornerHouse,1955,130,1,0,0,1595,0.29,1750,227500
2685466,233260,Gelderland,TownHouse,1974,146,1,0,0,1855,0.12,1700,248200
2676801,199618,Gelderland,CornerHouse,2015,112,1,0,0,2018,0.03,1500,168000
2680345,193719,Limburg,TownHouse,2005,107,1,0,0,2010,0.03,1300,139100
2681494,180885,Flevoland,TownHouse,1957,102,1,0,0,2482,-0.35,1300,132600
2686107,422218,Groningen,Detached,1940,384.03,1,1,0,2765,-0.67,1223.351159,469803.5455
2688123,251483,Frysl̢n,Detached,1971,141,1,0,0,3349,-1.98,1100,155100
2692067,110153,Overijssel,Semidetached,1960,90,0,0,0,3382,-2.19,1350,121500
2678233,195901,Noord Brabant,NotSpecified,1998,103,0,0,0,1875,0.11,1650,169950
2675024,141977,Noord Brabant,Semidetached,2008,101,0,0,0,2910,-0.87,1950,196950
2683712,192861,Zeeland,Semidetached,1996,128,1,0,0,2925,-0.88,1200,153600
2683379,328898,Groningen,Detached,1955,121,1,0,0,3255,-1.58,1223.351159,148025.4902
2686732,245965,Noord Holland,Semidetached,1948,91,0,0,0,1776,0.17,2246.660482,204446.1039
2685354,136894,Flevoland,Apartment,2010,106,1,1,0,2880,-0.81,1400,148400
2675962,279284,Zeeland,CornerHouse,1981,107,0,0,0,1937,0.07,1529.326187,163637.902
2690778,319422,Noord Brabant,TownHouse,1984,106,1,0,0,871,0.76,1752.250265,185738.5281
2684791,304182,Overijssel,Detached,1936,100,1,0,0,2825,-0.74,1500,150000
2693497,281722,Noord Brabant,TownHouse,2010,110,1,0,0,797,0.82,1752.250265,192747.5291
2678582,253965,Zuid Holland,NotSpecified,1900,147,0,0,0,1260,0.49,1850,271950
2689830,205077,Zeeland,TownHouse,2008,129.7,1,0,0,1925,0.08,1750,226975
2688144,249995,Limburg,Semidetached,1971,94,1,0,0,2064,-0.01,1450,136300
2679015,193697,Gelderland,Semidetached,1996,127,1,0,0,2149,-0.08,1200,152400
2681316,156797,Zeeland,TownHouse,1953,135,1,0,0,2350,-0.24,1200,162000
2677774,153505,Noord Brabant,CornerHouse,1981,89,1,0,0,2403,-0.29,1750,155750
2677801,331279,Overijssel,Semidetached,1816,155,1,0,0,2696,-0.59,1546.347403,239683.8474
2682305,266210,Drenthe,Detached,1949,76.8,1,0,0,3239,-1.53,1500,115200
2683492,257819,Drenthe,Detached,1976,112.1,1,0,0,3308,-1.77,1250,140125
2681516,144444,Frysl̢n,Semidetached,1958,123,1,0,0,3379,-2.14,1300,159900
2685177,223294,Gelderland,TownHouse,1884,89,1,0,0,1003,0.65,2000,178000
2678866,209038,Noord Brabant,Semidetached,1975,184,1,1,0,1870,0.11,1450,266800
2689181,251055,Noord Brabant,TownHouse,2019,106,1,0,0,1048,0.63,1752.250265,185738.5281
2683407,269556,Groningen,Detached,1928,130,1,0,0,3255,-1.58,1223.351159,159035.6506
2684807,168675,Overijssel,TownHouse,2011,88,1,0,0,2825,-0.74,1500,132000
2688997,251616,Frysl̢n,Semidetached,1982,125,1,0,0,882,0.75,1250,156250
2685097,222074,Gelderland,TownHouse,2007,126,0,0,0,1197,0.52,1850,233100
2685264,238897,Limburg,Semidetached,1974,125,1,0,0,1503,0.34,1600,200000
2691172,167953,Noord Brabant,TownHouse,1900,98,1,0,0,1870,0.11,1450,142100
2681913,253848,Overijssel,Semidetached,1971,128,0,0,0,2160,-0.08,1545.348837,197804.6512
2682239,337253,Zeeland,Detached,1967,122,1,0,0,2837,-0.75,1100,134200
2682243,303982,Zeeland,Detached,1988,120,1,0,0,2837,-0.75,1100,132000
2683567,188655,Frysl̢n,Semidetached,1983,120,1,0,0,2989,-0.99,1350,162000
2680372,298242,Drenthe,Detached,1991,159,1,0,0,3336,-1.92,1200,190800
2687761,265293,Gelderland,TownHouse,1974,109,1,0,0,691,0.91,2050,223450
2676701,391438,Zeeland,Detached,1900,75,1,0,0,866,0.77,2750,206250
2681258,351861,Zuid Holland,CornerHouse,1968,110,1,0,0,544,1.05,1800,198000
2688943,165633,Noord Brabant,Apartment,2014,113,0,0,0,2192,-0.12,1650,186450
2688924,364576,Limburg,Detached,1950,111,1,0,0,2835,-0.75,1200,133200
2689684,200833,Zeeland,TownHouse,1975,78,1,0,0,626,0.97,1500,117000
2681522,434600,Frysl̢n,Detached,1963,120,0,0,0,665,0.93,1700,204000
2685965,250990,Noord Brabant,TownHouse,1989,125,1,0,0,1224,0.51,1800,225000
2684827,215445,Gelderland,TownHouse,2007,113.6,1,0,0,1620,0.27,1800,204480
2693742,234594,Zeeland,Semidetached,1970,154,1,0,0,2365,-0.26,2750,423500
2682809,169675,Overijssel,NotSpecified,1960,91,0,1,0,2830,-0.75,1550,141050
2683477,260862,Drenthe,Detached,2000,95,1,0,0,3308,-1.77,1271.932299,120833.5684
2682810,153542,Overijssel,Semidetached,1951,146,1,0,0,3382,-2.19,1500,219000
2684225,222874,Zeeland,TownHouse,1954,115,1,0,0,2233,-0.15,1650,189750
2674266,230289,Gelderland,NotSpecified,1963,82,0,0,0,773,0.84,1850,151700
2686241,209100,Noord Brabant,NotSpecified,1930,84,1,0,0,1328,0.45,1500,126000
2683715,342804,Zeeland,Detached,1934,134,1,0,0,1833,0.14,1343.10532,179976.1129
2690347,195539,Noord Brabant,Semidetached,1967,112,1,0,0,2192,-0.12,1650,184800
2685108,164993,Gelderland,Apartment,2001,88,1,0,0,2243,-0.16,1850,162800
2683720,208986,Zeeland,Semidetached,1977,128,1,0,0,2550,-0.4,1250,160000
2682231,244522,Zeeland,Semidetached,1963,170,1,0,0,2558,-0.41,1300,221000
2683186,377715,Zeeland,Detached,1908,142,1,0,0,2769,-0.68,1500,213000
2686493,256711,Gelderland,Semidetached,1998,135,1,0,0,856,0.78,1450,195750
2685262,201658,Limburg,Semidetached,2013,115,1,0,0,2063,-0.01,1750,201250
2687634,197089,Noord Brabant,Semidetached,1970,100,1,0,0,2192,-0.12,1650,165000
2684660,167567,Overijssel,Apartment,2008,92,1,0,0,2112,-0.05,1500,138000
2690886,271524,Zeeland,Semidetached,1954,116,1,0,0,1501,0.35,1529.326187,177401.8377
2683139,342619,Zeeland,Detached,1920,150,1,0,0,2925,-0.88,1350,202500
2684811,230864,Frysl̢n,Semidetached,1995,130,1,0,0,1914,0.09,1300,169000
2690864,217670,Noord Brabant,Semidetached,1955,129,1,0,0,2480,-0.35,1350,174150
2684196,395390,Frysl̢n,Detached,1993,137,1,0,0,2822,-0.74,1050,143850
2684599,372871,Frysl̢n,Detached,1900,140,0,0,0,2899,-0.84,1695.027593,237303.863
2684420,303754,Zeeland,Detached,1969,108,1,0,0,2927,-0.88,1200,129600
2681700,299091,Drenthe,Detached,1919,157,0,0,0,3087,-1.18,1650,259050
2683711,211051,Zeeland,Semidetached,2001,125,1,0,0,2919,-0.88,2750,343750
2684641,252185,Overijssel,Semidetached,1985,170,1,0,0,1278,0.48,1529.458881,260008.0097
2684987,226620,Groningen,Semidetached,2000,150,1,0,0,2303,-0.21,1250,187500
2683697,195340,Zeeland,CornerHouse,1980,90,0,0,0,2365,-0.26,2750,247500
2686270,305868,Zuid Holland,TownHouse,1995,89.4,1,0,0,877,0.76,1900,169860
2683714,354406,Zeeland,Detached,1958,112,1,0,0,1101,0.59,1300,145600
2685185,258913,Gelderland,Semidetached,1905,237,1,0,0,1138,0.56,2100,497700
2684885,262602,Drenthe,Semidetached,1976,158,1,0,0,1165,0.54,1667.437252,263455.0859
2684596,233999,Noord Brabant,NotSpecified,1967,135,1,0,0,1973,0.05,1500,202500
2685236,203494,Gelderland,Semidetached,1986,105,1,0,0,2075,-0.01,1900,199500
2684228,198159,Zeeland,Semidetached,1951,100,1,0,0,2233,-0.15,1650,165000
2682797,185612,Noord Brabant,Semidetached,1960,104.3,1,0,0,2534,-0.39,1670.157068,174197.3822
2686678,294485,Groningen,Detached,1927,110,1,0,0,3054,-1.11,1300,143000
2687620,350691,Limburg,Detached,1964,105,0,0,0,1286,0.48,1350,141750
2683359,382328,Groningen,Detached,1995,130,1,0,0,2204,-0.12,1223.351159,159035.6506
2683152,187059,Zeeland,Semidetached,2001,137,1,0,0,2919,-0.88,2750,376750
2686936,340714,Groningen,Detached,1931,132,1,0,0,3160,-1.35,1223.351159,161482.3529
2691795,226461,Gelderland,NotSpecified,1957,92,0,0,0,2903,-0.85,1700,156400
2691254,344816,Limburg,Semidetached,1976,116,1,0,0,950,0.7,1450,168200
2690868,189500,Gelderland,Apartment,2002,91.5,0,0,0,1271,0.48,1950,178425
2677807,274620,Noord Brabant,TownHouse,2009,103,1,0,0,1310,0.46,1850,190550
2682798,247189,Noord Brabant,Semidetached,1985,142,1,0,0,1481,0.35,1600,227200
2683808,277175,Gelderland,Semidetached,1965,180,0,0,0,1567,0.3,1300,234000
2674339,202690,Gelderland,NotSpecified,1983,138,0,0,0,2284,-0.2,1550,213900
2685289,302789,Noord Holland,Semidetached,2015,96,1,0,0,2619,-0.49,1900,182400
2691052,314415,Zeeland,Detached,1937,95,1,0,0,2804,-0.71,1900,180500
2683042,266901,Frysl̢n,Detached,2009,140,1,0,0,3030,-1.08,1100,154000
2685235,174774,Gelderland,Semidetached,1965,100,1,0,0,2075,-0.01,1900,190000
2680490,307246,Utrecht,Apartment,2003,86,0,1,0,229,1.48,2300,197800
2692068,202541,Overijssel,Semidetached,2019,135,0,0,0,2242,-0.16,1529.458881,206476.9489
2686273,305530,Zuid Holland,CornerHouse,1962,84.7,1,0,0,877,0.76,1750,148225
2687765,189929,Zeeland,Semidetached,1997,117,1,0,0,2350,-0.24,1200,140400
2675710,326941,Groningen,Detached,1976,120,1,0,0,3120,-1.25,1100,132000
2683483,308287,Drenthe,Detached,2000,150,1,0,0,3308,-1.77,1271.932299,190789.8449
2676755,340165,Frysl̢n,Detached,1912,127,1,0,0,2037,0.01,1695.027593,215268.5043
2690484,264692,Overijssel,Semidetached,1995,156,1,0,0,2611,-0.48,2000,312000
2685232,258117,Gelderland,CornerHouse,2011,115,1,0,0,382,1.23,1950,224250
2690316,402225,Zeeland,Detached,1963,109,1,0,0,910,0.72,1850,201650
2682796,188323,Noord Brabant,CornerHouse,2012,110,1,0,0,1673,0.24,1700,187000
2679131,211259,Drenthe,Semidetached,2012,131,0,0,0,1734,0.2,1500,196500
2682795,339686,Noord Brabant,Detached,1964,122,0,0,0,2534,-0.39,1670.157068,203759.1623
2675797,372727,Noord Brabant,Detached,1932,152,1,0,0,1159,0.55,1600,243200
2690892,365788,Zeeland,Detached,1975,163,1,0,0,1577,0.3,1500,244500
2684851,234590,Zeeland,Semidetached,1950,126,1,0,0,1806,0.15,1050,132300
2679643,217823,Groningen,Semidetached,1999,176,1,0,0,2531,-0.38,1250,220000
2690441,208623,Zeeland,Apartment,2005,99,0,0,0,2671,-0.56,1400,138600
2686685,165440,Groningen,Semidetached,2007,133.7,1,0,0,3054,-1.11,1300,173810
2674891,269026,Groningen,Detached,1980,130,1,0,0,2004,0.03,1223.351159,159035.6506
2674998,174490,Overijssel,Semidetached,1926,120,1,0,0,3260,-1.59,1200,144000
2690406,215875,Gelderland,Semidetached,1996,107.8,1,0,0,1759,0.18,2150,231770
2689831,303615,Zeeland,Semidetached,2000,140,1,0,0,151,1.7,1550,217000
2690465,263138,Groningen,NotSpecified,1938,76,0,0,0,281,1.39,1850,140600
2687818,263747,Frysl̢n,Semidetached,2008,115,1,0,0,865,0.77,1750,201250
2682191,307164,Zuid Holland,Semidetached,1946,98,1,0,0,1295,0.47,2200,215600
2686245,328893,Noord Brabant,Detached,1995,116,0,0,0,1328,0.45,1500,174000
2685559,257857,Gelderland,Semidetached,1978,144,1,1,0,1351,0.43,1900,273600
2683185,432362,Zeeland,Detached,1975,204,1,1,0,1501,0.35,1529.326187,311982.5421
2689821,426561,Noord Brabant,Detached,1958,131.6,1,0,0,1481,0.35,1600,210560
2684825,222236,Gelderland,Semidetached,1956,128,1,0,0,1620,0.27,1800,230400
2688707,261692,Drenthe,NotSpecified,1997,100,0,0,0,1869,0.11,1500,150000
2686083,267152,Noord Brabant,CornerHouse,2000,107,1,0,0,1916,0.09,1900,203300
2688384,427385,Zuid Holland,Semidetached,1924,198,0,0,0,1951,0.06,1650,326700
